>>>>> statistic <<<<<	NameOfTAS:	hok_sok_tadb	
method	Round/Query	NrOfCompleteTAS	MaxDistanceForCTAS	AtSeq	AtSeqUnique	TntSeq	TntSeqUnique	Tpro(blastp)	Tpro(blastp)Unique	Tpro(tblastn)	Tpro(tblastn)Unique	Tpro(blastp&tblastn)Unique
1. sequence analysis	round1	539	48	566	72	602	54	305	202	704	94	207		
1. sequence analysis	round2	892	48	895	163	1097	122	972	626	7563	781	666		
1. sequence analysis	round3	1051	48	1059	189	1407	170	1117	740	9902	1052	806		
1. sequence analysis	round4	1051	48	1059	189	1426	185	1160	774	9902	1052	844		
1. sequence analysis	round5	1051	48	1059	189	1457	193	1160	784	9929	1079	864		
2. structure analysis	structure of round5	7346	0	---	---	---	---	---	---	---	---	---	
	Edwardsiella_piscicida	1	0	1	1	0	0	0	0	2	1	0	
	Enterobacter_asburiae	7	0	9	7	8	4	0	0	14	11	0	
	Enterobacter_bugandensis	3	0	3	3	1	1	0	0	6	4	0	
	Enterobacter_cancerogenus	1	0	1	1	0	0	0	0	2	1	0	
	Enterobacter_cloacae	129	0	149	59	62	26	0	0	258	63	0	
	Enterobacter_hormaechei	70	0	77	30	21	7	0	0	141	26	0	
	Enterobacteriaceae_bacterium	13	0	15	11	7	4	0	0	26	13	0	
	Enterobacter_kobei	2	0	2	2	0	0	0	0	4	2	0	
	Enterobacter_lignolyticus	2	0	2	2	2	1	0	0	4	2	0	
	Enterobacter_roggenkampii	5	0	6	5	3	3	0	0	10	9	0	
	Enterobacter_sp	19	0	26	19	18	11	0	0	38	25	0	
	Enterobacter_xiangfangensis	2	0	2	2	1	1	0	0	4	4	0	
	Erwinia_amylovora	6	0	12	1	12	1	0	0	12	1	0	
	Erwinia_pyrifoliae	3	0	3	1	0	0	0	0	6	1	0	
	Erwinia_sp	1	0	1	1	1	1	0	0	2	2	0	
	Escherichia_albertii	60	0	70	42	30	15	0	0	120	41	0	
	Escherichia_coli	4409	0	4925	361	1866	124	0	0	8818	271	0	
	Escherichia_fergusonii	8	0	9	8	5	3	0	0	16	10	0	
	Escherichia_marmotae	3	0	3	3	0	0	0	0	6	3	0	
	Hafnia_alvei	12	0	12	10	4	3	0	0	24	10	0	
	Hafnia_sp	3	0	3	3	1	1	0	0	6	3	0	
	Klebsiella_aerogenes	16	0	23	12	4	2	0	0	32	9	0	
	Klebsiella_michiganensis	28	0	30	13	9	3	0	0	56	12	0	
	Klebsiella_oxytoca	63	0	71	30	32	13	0	0	126	27	0	
	Klebsiella_pneumoniae	1033	0	1353	78	514	37	0	0	2066	72	0	
	Klebsiella_quasipneumoniae	34	0	40	14	15	5	0	0	68	20	0	
	Klebsiella_quasivariicola	3	0	4	3	2	1	0	0	6	3	0	
	Klebsiella_sp	21	0	24	21	9	6	0	0	42	26	0	
	Klebsiella_variicola	55	0	72	21	43	9	0	0	110	20	0	
	Kluyvera_intermedia	2	0	2	2	2	2	0	0	4	3	0	
	Kosakonia_cowanii	4	0	4	3	6	4	0	0	8	3	0	
	Kosakonia_sacchari	2	0	4	2	4	1	0	0	4	2	0	
	Kosakonia_sp	1	0	1	1	1	1	0	0	2	1	0	
	Leclercia_adecarboxylata	2	0	2	2	0	0	0	0	4	2	0	
	Leclercia_sp	4	0	5	3	2	1	0	0	8	3	0	
	Lelliottia_amnigena	2	0	2	2	1	1	0	0	4	3	0	
	Lelliottia_nimipressuralis	3	0	3	3	1	1	0	0	6	4	0	
	Lelliottia_sp	4	0	5	4	3	2	0	0	8	6	0	
	Metakosakonia_sp	1	0	2	1	0	0	0	0	2	1	0	
	Obesumbacterium_proteus	2	0	2	2	1	1	0	0	4	2	0	
	Pantoea_sp	2	0	2	1	0	0	0	0	4	1	0	
	Pantoea_stewartii	1	0	1	1	0	0	0	0	2	2	0	
	Photobacterium_damselae	3	0	3	2	0	0	0	0	6	3	0	
	Photorhabdus_asymbiotica	3	0	3	2	3	2	0	0	6	2	0	
	Photorhabdus_laumondii	5	0	5	2	4	2	0	0	10	3	0	
	Photorhabdus_luminescens	5	0	5	2	4	2	0	0	10	3	0	
	Phytobacter_sp	2	0	2	2	0	0	0	0	4	4	0	
	Phytobacter_ursingii	2	0	3	2	0	0	0	0	4	2	0	
	Pluralibacter_gergoviae	6	0	6	5	4	3	0	0	12	6	0	
	Raoultella_ornithinolytica	4	0	8	3	2	1	0	0	8	3	0	
	Raoultella_planticola	2	0	4	2	0	0	0	0	4	2	0	
	Raoultella_terrigena	1	0	2	1	2	1	0	0	2	2	0	
	Rouxiella_sp	1	0	1	1	1	1	0	0	2	1	0	
	Salmonella_enterica	225	0	235	30	241	19	0	0	450	23	0	
	Salmonella_sp	1	0	1	1	1	1	0	0	2	1	0	
	Serratia_ficaria	1	0	1	1	1	1	0	0	2	1	0	
	Serratia_fonticola	18	0	18	18	12	9	0	0	36	16	0	
	Serratia_liquefaciens	6	0	6	5	6	4	0	0	12	4	0	
	Serratia_marcescens	119	0	120	73	120	30	0	0	238	54	0	
	Serratia_odorifera	1	0	1	1	1	1	0	0	2	1	0	
	Serratia_plymuthica	26	0	26	16	26	9	0	0	52	14	0	
	Serratia_proteamaculans	3	0	3	3	2	2	0	0	6	3	0	
	Serratia_quinivorans	8	0	8	7	5	3	0	0	16	5	0	
	Serratia_sp	38	0	38	34	36	28	0	0	76	34	0	
	Shigella_boydii	82	0	87	25	34	9	0	0	164	23	0	
	Shigella_dysenteriae	108	0	118	26	52	7	0	0	216	26	0	
	Shigella_flexneri	190	0	197	21	52	10	0	0	380	21	0	
	Shigella_sonnei	25	0	26	8	7	2	0	0	50	6	0	
	Shigella_sp	4	0	4	4	0	0	0	0	8	4	0	
	Shimwellia_blattae	3	33	3	1	6	1	0	0	3	1	0	
	Vibrio_campbellii	1	0	1	1	0	0	0	0	2	1	0	
	Vibrio_parahaemolyticus	1	0	1	1	0	0	0	0	2	1	0	
	Yersinia_aldovae	1	0	1	1	1	1	0	0	2	1	0	
	Yersinia_enterocolitica	13	0	13	2	13	2	0	0	26	2	0	
	Yersinia_rohdei	1	0	1	1	1	1	0	0	2	1	0	
multiple cTAS are found in: (query: cTAS seq of combined analysis)	No multiple cTAS on one Genome	
